Group Code*,Title*,Description,Group Set*,Self Enroll*
Ciencia_gc_Politica,Ciência Política,,Coligada,N
Gestao_gc_de_gc_Servicos_gc_Juridicos_gc_Cartorarios_gc_e_gc_Notariais,Gestão de Serviços Jurídicos, Cartorários e Notariais,,Coligada,N
Gestao_gc_de_gc_Servicos_gc_Juridicos_gc_e_gc_Notariais,Gestão de Serviços Jurídicos e Notariais,,Coligada,N
Gestao_gc_Publica,Gestão Pública,,Coligada,N
Seguranca_gc_Publica,Segurança Pública,,Coligada,N
