Group Code*,Title*,Description,Group Set*,Self Enroll*
Ciencias_gc_Biologicas,Ciências Biológicas,,Coligada,N
Geografia,Geografia,,Coligada,N
Historia,História,,Coligada,N
Letras_gc_-_gc_Espanhol,Letras - Espanhol,,Coligada,N
Letras_gc_-_gc_Ingles,Letras - Inglês,,Coligada,N
Letras_gc_-_gc_Portugues,Letras - Português,,Coligada,N
Licenciatura_gc_em_gc_Educacao_gc_Especial,Licenciatura em Educação Especial,,Coligada,N
Licenciatura_gc_em_gc_Educacao_gc_Fisica,Licenciatura em Educação Física,,Coligada,N
Matematica,Matemática,,Coligada,N
