Group Code*,Title*,Description,Group Set*,Self Enroll*
Arquitetura_gc_e_gc_Urbanismo,Arquitetura e Urbanismo,,Coligada,N
Design_gc_de_gc_Interiores,Design de Interiores,,Coligada,N
