Group Code*,Title*,Description,Group Set*,Self Enroll*
E-Commerce,E-Commerce,,Coligada,N
Gestao_gc_Comercial,Gestão Comercial,,Coligada,N
Gestao_gc_de_gc_Transito,Gestão de Trânsito,,Coligada,N
Logistica,Logística,,Coligada,N
Processos_gc_Gerenciais,Processos Gerenciais,,Coligada,N
