Group Code*,Title*,Description,Group Set*,Self Enroll*
Administracao,Administração,,Coligada,N
Ciencias_gc_Contabeis,Ciências Contábeis,,Coligada,N
Ciencias_gc_Economicas,Ciências Econômicas,,Coligada,N
Gestao_gc_Hospitalar,Gestão Hospitalar,,Coligada,N
