Group Code*,Title*,Description,Group Set*,Self Enroll*
Ciencias_gc_Aeronauticas,Ciências Aeronáuticas,,Coligada,N
Engenharia_gc_Civil,Engenharia Civil,,Coligada,N
Engenharia_gc_de_gc_Producao,Engenharia de Produção,,Coligada,N
Engenharia_gc_Eletrica,Engenharia Elétrica,,Coligada,N
Engenharia_gc_Mecanica,Engenharia Mecânica,,Coligada,N
